,country,article_name,revision_id,article_quality_est.,population
0,Algeria,Ali Fawzi Rebaine,686269631.0,Stub,44357000
1,Algeria,Ahmed Attaf,705910185.0,Stub,44357000
2,Algeria,Ahmed Djoghlaf,707427823.0,Stub,44357000
3,Algeria,Hammi Larouissi,708060571.0,Stub,44357000
4,Algeria,Salah Goudjil,708980561.0,Stub,44357000
5,Algeria,Yazid Zerhouni,711888752.0,Stub,44357000
6,Algeria,Saad Dahlab,712810569.0,Stub,44357000
7,Algeria,Naima Farhi,713203530.0,Stub,44357000
8,Algeria,Mustapha Stambouli,713635313.0,Stub,44357000
9,Algeria,Rabeh Kebir,721935284.0,Stub,44357000
10,Algeria,Ali Boumendjel,721981996.0,Stub,44357000
11,Algeria,Mahmoud Cherif,722113361.0,Stub,44357000
12,Algeria,Abdelhamid Temmar,739114957.0,Stub,44357000
13,Algeria,Abdelhafid Boussouf,740440784.0,Stub,44357000
14,Algeria,Abderrachid Boukerzaza,740706219.0,Stub,44357000
15,Algeria,Mohamed Boudiaf,746646095.0,C,44357000
16,Algeria,Abderrahmane Farès,746764434.0,Start,44357000
17,Algeria,Lamine Khene,746936441.0,Stub,44357000
18,Algeria,Fatima Zohra Karadja,747481177.0,Start,44357000
19,Algeria,Mhamed Yazid,747720470.0,Start,44357000
20,Algeria,Rabah Bitat,755092305.0,Start,44357000
21,Algeria,Mounia Meslem,757615880.0,Stub,44357000
22,Algeria,Mourad Medelci,757817902.0,Start,44357000
23,Algeria,Tahar Touati,760143034.0,Start,44357000
24,Algeria,Mohamed Ben Ahmed Abdelghani,764203869.0,Stub,44357000
25,Algeria,Omar Oussedik,766079623.0,Start,44357000
26,Algeria,Mohamed Salah Dembri,766231134.0,Stub,44357000
27,Algeria,Fatiha Boudiaf,766231159.0,Start,44357000
28,Algeria,Mohamed Boudia,766231165.0,Start,44357000
29,Algeria,Ahmed Tewfik El Madani,767405413.0,Stub,44357000
30,Algeria,Khalida Toumi,770282657.0,Start,44357000
31,Algeria,Lyès Deriche,771832169.0,Start,44357000
32,Algeria,Djilali Mehri,772651059.0,Stub,44357000
33,Algeria,Mouloud Kacem Naît Belkacem,774806785.0,Stub,44357000
34,Algeria,Boualem Bessaïh,776740910.0,Start,44357000
35,Algeria,Bakhti Belaïb,776925770.0,Stub,44357000
36,Algeria,Karim Djoudi,778326830.0,Stub,44357000
37,Algeria,Nadia Boubeghla,779427583.0,Stub,44357000
38,Algeria,Zahra Dardouri,779427783.0,Stub,44357000
39,Algeria,Nouria Yamina Zerhouni,779427849.0,Stub,44357000
40,Algeria,Abdelkader Hachani,780207199.0,Start,44357000
41,Algeria,Belaid Abdessalam,780658360.0,Stub,44357000
42,Algeria,Smail Hamdani,780665054.0,Start,44357000
43,Algeria,Mouloud Hamrouche,780680919.0,Stub,44357000
44,Algeria,Ahmed Benbitour,782105275.0,Stub,44357000
45,Algeria,Abdennour Abrous,782192657.0,Stub,44357000
46,Algeria,Azzedine Mihoubi,784420611.0,Start,44357000
47,Algeria,Nouara Saadia,785156476.0,Stub,44357000
48,Algeria,Abane Ramdane,785742807.0,Stub,44357000
49,Algeria,Saïd Sadi,787911144.0,Start,44357000
50,Algeria,Fatiha Serour,787988818.0,Stub,44357000
51,Algeria,Leila Zerrougui,788010268.0,Start,44357000
52,Algeria,Mourad Benmehidi,788018992.0,Start,44357000
53,Algeria,Said Boualam,788254131.0,Start,44357000
54,Algeria,Kasdi Merbah,788299558.0,Start,44357000
55,Algeria,Ferhat Mehenni,788458570.0,Start,44357000
56,Algeria,Amar Ghoul,788748788.0,Stub,44357000
57,Algeria,Mohamed Khider,788827246.0,Start,44357000
58,Algeria,Jacques Chevallier,791039747.0,Start,44357000
59,Algeria,List of mayors of Oran,791295370.0,Start,44357000
60,Algeria,List of mayors of Algiers,791312936.0,Stub,44357000
61,Algeria,Mohamed Belouizdad,791704982.0,Stub,44357000
62,Algeria,Krim Belkacem,793167978.0,Start,44357000
63,Algeria,Zohra Drif,793588934.0,Start,44357000
64,Algeria,Abdallah Djaballah,793718332.0,Stub,44357000
65,Algeria,Benyoucef Benkhedda,794381535.0,B,44357000
66,Algeria,Benaouda Hadj Hacène Bachterzi,794404263.0,Stub,44357000
67,Algeria,Bouguerra Soltani,794692299.0,Stub,44357000
68,Algeria,Ibrahim Bey,795485624.0,Start,44357000
69,Algeria,"List of beys of Constantine, Algeria",795485627.0,Start,44357000
70,Algeria,Houda-Imane Faraoun,796300546.0,Start,44357000
71,Algeria,List of Ottoman governors of Algiers,796315940.0,Start,44357000
72,Algeria,Said Djinnit,796386574.0,Start,44357000
73,Algeria,Ramtane Lamamra,796388361.0,Start,44357000
74,Algeria,Mohamed Khemisti,796407786.0,Stub,44357000
75,Algeria,Boudina Mostefa,796600973.0,Stub,44357000
76,Algeria,Chara Bachir,796608168.0,Stub,44357000
77,Algeria,Draoui Mohamed,796627766.0,Stub,44357000
78,Algeria,Kara Baya,796666436.0,Stub,44357000
79,Algeria,Mokdad Sifi,796669862.0,Stub,44357000
80,Algeria,Abderrahmane Benkhalfa,796929637.0,Stub,44357000
81,Algeria,Ali Kafi,796945473.0,Start,44357000
82,Algeria,Abdeslam Bouchouareb,797037799.0,Stub,44357000
83,Algeria,Lakhdar Brahimi,797172347.0,C,44357000
84,Algeria,Mohammed Saleh Bendjelloul,797399413.0,Stub,44357000
85,Algeria,Chadli Bendjedid,797986413.0,C,44357000
86,Algeria,Zuhur Wanasi,798667851.0,Start,44357000
87,Algeria,President of Algeria,799290487.0,C,44357000
88,Algeria,Ahmed Ouyahia,799959233.0,GA,44357000
89,Algeria,Abdelmalek Sellal,799959652.0,Start,44357000
90,Algeria,Farida Haddouche,800042876.0,Stub,44357000
91,Algeria,Ali Haroun,800725058.0,Stub,44357000
92,Algeria,Lakhdar Ben Tobbal,800725950.0,Stub,44357000
93,Algeria,Abdelhamid Brahimi,800726457.0,Stub,44357000
94,Algeria,Abdelaziz Bouteflika,801180489.0,C,44357000
95,Algeria,Louisa Hanoune,801466524.0,C,44357000
96,Algeria,Abdelmadjid Tebboune,801607196.0,Start,44357000
97,Algeria,Hayreddin Barbarossa,802441492.0,B,44357000
98,Algeria,Ahmed Bey ben Mohamed Chérif,802519267.0,Start,44357000
99,Algeria,Liamine Zéroual,802574873.0,Start,44357000
100,Algeria,Emir Abdelkader,803016375.0,B,44357000
101,Algeria,Hocine Aït Ahmed,803291657.0,Start,44357000
102,Algeria,Ahmed Ben Bella,803965612.0,C,44357000
103,Algeria,Lalla Fatma N'Soumer,804073508.0,Start,44357000
104,Algeria,Mahfoud Nahnah,804142444.0,Start,44357000
105,Algeria,Amar Abba,804372706.0,Stub,44357000
106,Algeria,Redha Malek,804696553.0,Start,44357000
107,Algeria,Sid Ahmed Ghozali,804905610.0,Stub,44357000
108,Algeria,Mohamed Seghir Boushaki,805107344.0,GA,44357000
109,Algeria,Abdelmalek Benhabyles,805427697.0,Stub,44357000
110,Algeria,Nouria Benghabrit-Remaoun,805484867.0,Start,44357000
111,Algeria,Mohamed Deriche,805618028.0,C,44357000
112,Algeria,Cheikh Mokrani,806013558.0,Start,44357000
113,Algeria,Ferhat Abbas,806762937.0,C,44357000
114,Algeria,Houari Boumédiène,806763023.0,C,44357000
115,Algeria,Maurice Laban,807321345.0,Stub,44357000
116,Egypt,List of Grand Viziers of Egypt,442937236.0,Stub,100803000
117,Egypt,Neferkheperu-her-sekheper,657176628.0,Start,100803000
118,Egypt,Qandil Cabinet,687093229.0,C,100803000
119,Egypt,Mohamed Kamel Leilah,700864508.0,Stub,100803000
120,Egypt,Khaled Dawoud,701871912.0,Stub,100803000
121,Egypt,Ihab el-Sherif,705264062.0,Start,100803000
122,Egypt,Ali El-Sayed Ali Al-Moselhi,710831684.0,Stub,100803000
123,Egypt,Ismail El-Gawsaqi,712237399.0,Stub,100803000
124,Egypt,Ali Maher (diplomat),712566011.0,Stub,100803000
125,Egypt,Umar al-Tilmisani,714741437.0,Start,100803000
126,Egypt,Mustafa Mashhur,714806189.0,Stub,100803000
127,Egypt,Yousry Saber Hussein El-Gamal,715206646.0,Stub,100803000
128,Egypt,Hany Mahfouz Helal,715947683.0,Stub,100803000
129,Egypt,Mohammed Habib,716599243.0,Stub,100803000
130,Egypt,Mamdouh Hosny Khalil,717534881.0,Stub,100803000
131,Egypt,Mohamed Abdul Salam Mahgoub,719039652.0,Stub,100803000
132,Egypt,Samir El-Sayiad,719704569.0,Stub,100803000
133,Egypt,Maged George Elias Ghattas,719742040.0,Start,100803000
134,Egypt,Stephan Bassily,720605479.0,Start,100803000
135,Egypt,Mohamed Youssef Ibrahim,720939610.0,Start,100803000
136,Egypt,Mahmoud al-Saqa,721188244.0,Stub,100803000
137,Egypt,Mohammed Murad Ghaleb,721302683.0,Stub,100803000
138,Egypt,George Messiha,722226891.0,Stub,100803000
139,Egypt,Yasser Ali,722340898.0,Stub,100803000
140,Egypt,Mohamed Mahsoub,722586870.0,Start,100803000
141,Egypt,Sayed Meshaal,723347465.0,Stub,100803000
142,Egypt,Nabil Na'eem,723487099.0,Start,100803000
143,Egypt,Ali Ibrahim Pasha,723820329.0,Stub,100803000
144,Egypt,Sherif Sabri Pasha,726072363.0,Stub,100803000
145,Egypt,Ali Pasha Mubarak,728507832.0,B,100803000
146,Egypt,Mohammed Ragab Ahmad,734122106.0,Stub,100803000
147,Egypt,List of governors of Islamic Egypt,735405745.0,B,100803000
148,Egypt,Sufi Abu Taleb,735739446.0,C,100803000
149,Egypt,Abdel Ahad Gamal El Din,737848237.0,Stub,100803000
150,Egypt,Mohamed M. Abou El Enein,738586711.0,C,100803000
151,Egypt,Diaa al-Din Dawoud,741240565.0,B,100803000
152,Egypt,Abbas Halim,743531941.0,Start,100803000
153,Egypt,Abdel Wahab el-Beshry,744730085.0,Stub,100803000
154,Egypt,Joseph de Picciotto Bey,745489352.0,Stub,100803000
155,Egypt,Mohamed Sedki Sulayman,745711737.0,Stub,100803000
156,Egypt,Abdel Fattah Yahya Pasha,745837038.0,Stub,100803000
157,Egypt,Talaat Sadat,746372924.0,Start,100803000
158,Egypt,Muttalib ibn Abdallah ibn Malik,747063138.0,Stub,100803000
159,Egypt,Muhammad Ali Alluba,747594950.0,Stub,100803000
160,Egypt,Galal Saeed,750721973.0,Stub,100803000
161,Egypt,Numan Gumaa,750722991.0,Stub,100803000
162,Egypt,Yehia El-Gamal,751177057.0,Start,100803000
163,Egypt,Ahmad Fathy Zaghlul,751451387.0,Start,100803000
164,Egypt,Muhammad Hassanein,751568055.0,Stub,100803000
165,Egypt,Hossam Badrawi,755398667.0,C,100803000
166,Egypt,Emad Abdel Ghaffour,756307494.0,Stub,100803000
167,Egypt,Farkhonda Hassan,757292312.0,Start,100803000
168,Egypt,Hussein el-Shafei,761525136.0,Start,100803000
169,Egypt,Mohamed Abu Samra,762300867.0,Stub,100803000
170,Egypt,Salah Dessouki,762369795.0,Start,100803000
171,Egypt,Mokhtar Khattab,764016726.0,Stub,100803000
172,Egypt,Rifaat el-Mahgoub,765023750.0,Start,100803000
173,Egypt,Mohamed Mahmoud Pasha,765119973.0,Stub,100803000
174,Egypt,Mohammed Hassan El-Zayyat,765965988.0,Stub,100803000
175,Egypt,Hassan Tuhami,767190897.0,Start,100803000
176,Egypt,Galal al-Morra,767649266.0,Stub,100803000
177,Egypt,Lists of rulers of Egypt,770980198.0,Stub,100803000
178,Egypt,Heshmat Fahmi,773331743.0,Stub,100803000
